cell_position,n_trials_with_cell,n_clicks_in_cell,ctr,click_share_within_carousel,mean_fix_count,median_fix_count,mean_dwell_ms,median_dwell_ms,n_trials_with_fix_data
1,1549,67,0.04325371207230471,0.29004329004329005,7.367333763718528,5.0,1621.6881859264042,1082.0,1549
2,1549,58,0.03744351194318916,0.2510822510822511,5.9780503550677855,4.0,1282.5171078114913,726.0,1549
3,1518,55,0.036231884057971016,0.23809523809523808,5.277997364953887,3.0,1128.4888010540185,614.5,1518
4,1353,43,0.031781226903178125,0.18614718614718614,5.670362158167036,3.0,1239.9172209903918,644.0,1353
5,394,8,0.02030456852791878,0.03463203463203463,3.802030456852792,2.0,855.3959390862944,417.0,394
6,5,0,0.0,0.0,2.0,2.0,318.0,159.0,5
