participant,p_ad_survey,ad_over_index,n_survey_fix,n_ad_top_trials,mean_ad_area_frac,mean_lhipa,regression_rate,mean_click_pos,median_tti_s,mean_fixations,events_per_sec,dir_changes_per_sec,tercile
p037,0.45806451612903226,1.606072157781585,155,31,0.285207930359581,0.03466538937065364,0.7931034482758621,6.088735632183908,10.514,129.51724137931035,17.852699524577126,0.9659519350721946,low
p043,0.49444444444444446,1.7405501230207097,180,36,0.28407366033581405,0.0370897063842724,0.40350877192982454,4.522339181286551,17.542,126.10526315789474,9.544903232610872,0.187456483316373,low
p046,0.5176470588235295,1.8164939375958387,170,34,0.2849704301841185,0.04353148710234586,0.4827586206896552,6.052528735632183,7.9455,75.82758620689656,18.35848825109373,0.9342577996683901,low
p026,0.5225806451612903,1.7865318199636557,155,31,0.29251124403254203,0.06753680658252503,0.28846153846153844,5.216794871794871,0.9085000000000001,34.38461538461539,55.30857545843411,2.669341728229104,low
p019,0.5473684210526316,1.9749175600394107,190,38,0.27716013677133366,0.048808407569777154,0.6440677966101694,5.866436781609195,4.6865,83.16949152542372,28.93483633733197,1.685226183788785,low
p041,0.5483870967741935,1.7329477795873989,124,25,0.3164475601825464,0.0736198886791109,0.375,4.585595238095237,7.164,44.892857142857146,11.760093386764577,0.3636315672892664,low
p047,0.5666666666666667,1.891435568981746,150,30,0.2995960718723988,0.03500283168335706,0.4482758620689655,6.595977011494253,12.6045,104.75862068965517,49.912634733827986,2.3964427842002474,low
p036,0.6,2.0156859101812743,185,37,0.2976654234518318,0.044539736781529955,0.5666666666666667,4.366555555555556,6.093,78.06666666666666,17.353507711747035,0.7194517559705773,low
p031,0.61875,2.0435351115731177,160,32,0.30278412956833656,0.07078351530973287,0.6610169491525424,5.538192090395481,1.7045,39.220338983050844,30.179146622319912,1.1765988894880097,low
p008,0.6214285714285714,2.028105957034001,140,28,0.30640833595172623,0.03774556728859663,0.3275862068965517,4.005747126436781,9.484,94.60344827586206,14.758035585567608,0.604169120083757,low
p010,0.6222222222222222,2.2275870381488247,180,36,0.2793256611599352,0.038122316078446454,0.75,6.664666666666665,4.646,86.76666666666667,9.798773937183405,0.6081735627153859,low
p034,0.6294117647058823,2.1500494592042263,170,34,0.2927429236622489,0.05445205837642343,0.4576271186440678,5.882033898305085,5.139,70.23728813559322,14.568546880836756,0.5895067793279624,low
p039,0.65,2.2649526054362714,100,20,0.28698172246072146,0.03451307122301127,0.9272727272727272,4.482060606060606,14.781,168.4181818181818,5.192730177751149,0.24285317790729946,low
p023,0.6615384615384615,2.229640277313026,195,39,0.2967018797918791,0.0664999564177172,0.5833333333333334,4.525333333333334,1.164,25.866666666666667,15.07550484297061,0.6510862715742374,low
p028,0.6615384615384615,2.2571556509229382,195,39,0.29308499893127093,0.038472873295681546,0.8166666666666667,5.926222222222223,5.5055,112.2,15.898660430723389,0.890843853127145,low
p015,0.6628571428571428,2.275560888358104,175,35,0.2912939602048694,0.03834423156103612,0.8333333333333334,5.6371111111111105,4.3315,112.75,32.89462375616002,1.1881768941461566,low
p025,0.6631578947368421,2.2185895946852017,190,38,0.29890967501402094,0.04907479603364995,0.5517241379310345,5.214827586206896,4.126,66.5,20.071700645118273,0.7360523037644078,mid
p030,0.6742857142857143,2.0958929276241096,175,35,0.3217176342352947,0.06679238353219387,0.26666666666666666,5.411555555555555,1.525,51.3,23.470352167727782,0.929511674721637,mid
p012,0.6829268292682927,2.4877738563392295,205,41,0.2745132269671901,0.04408685697236138,0.8135593220338984,5.687118644067796,5.4915,98.10169491525424,9.440505548705302,0.46915317851278443,mid
p020,0.6909090909090909,2.429941570100411,110,22,0.28433156558597455,0.035297452000073275,0.6440677966101694,6.88813559322034,11.015,157.8135593220339,7.947844559205948,0.33772374197906113,mid
p022,0.6967741935483871,2.2389164968850332,155,31,0.3112104424250736,0.05766880942833559,0.2,5.504999999999999,6.463,62.78333333333333,22.867904223836426,0.46264168401572975,mid
p005,0.7176470588235294,2.3996023200838055,170,34,0.29906916359310143,0.037500396185711445,0.9166666666666666,4.595333333333333,4.052,100.23333333333333,12.990355324260825,0.4708540334829304,mid
p049,0.71875,2.2415316235781964,160,32,0.3206512870216155,0.056655487128980296,0.35,5.145666666666668,3.222,44.56666666666667,20.453607297173413,0.8423405811724347,mid
p014,0.7277777777777777,2.483318918893809,180,36,0.2930665780543263,0.04339392362002825,0.5333333333333333,6.868,6.777,117.55,8.01196783689132,0.39323485816281567,mid
