tercile,p_ad_survey_mean,ad_over_index_mean,mean_lhipa_mean,regression_rate_mean,mean_click_pos_mean,median_tti_s_mean,mean_fixations_mean,events_per_sec_mean,dir_changes_per_sec_mean,p_ad_survey_median,ad_over_index_median,mean_lhipa_median,regression_rate_median,mean_click_pos_median,median_tti_s_median,mean_fixations_median,events_per_sec_median,dir_changes_per_sec_median,n_participants
low,0.5864315920839082,2.002576365321383,0.047732990231513596,0.584917440000119,5.37227062888644,7.13834375,86.67405829370881,21.711985054368768,0.9920730491190557,0.609375,2.0218959336076376,0.04100218019901371,0.575,5.587651600753295,5.79925,84.96807909604519,16.626084071235212,0.8051478045488611,16
mid,0.726925558599391,2.4486641343480784,0.04869815202546943,0.5832358374384237,5.547964300499569,5.14109375,85.44817506122847,16.63747330462894,0.6732137623388171,0.7305555555555555,2.470841235028929,0.046580826503005664,0.5508620689655173,5.509223163841807,5.26525,81.37485875706216,15.779445049031155,0.5158087977867474,16
high,0.8671070661223648,2.902252099951985,0.049892506051900806,0.5269446067926489,5.598163266012945,5.721464285714285,81.7880901357231,18.485735879660712,0.6236258523512106,0.8829268292682927,2.8762410409728467,0.04440055334167827,0.5666666666666667,5.709777777777777,5.2995,90.48333333333333,13.481703752141977,0.544888455111878,15
