etype,n_aois,n_fixated,fixated_pct_of_aois,n_clicks,click_share_pct,n_clicks_tight,click_share_tight_pct,n_with_regressive_fix,regressive_share_of_fixated_pct,n_with_distinct_return,distinct_return_share_of_fixated_pct,regressive_fix_total,regressive_fix_share_of_total_pct,n_trials_with_etype_above_fold,above_fold_trial_pct
dd_top,1575,1570,99.68253968253968,280,10.185522008002911,280,10.189228529839884,1313,83.63057324840764,1298,82.67515923566879,20793,23.618478594227426,1575,57.00325732899023
image_pack,1566,788,50.31928480204342,40,1.4550745725718444,39,1.4192139737991267,486,61.6751269035533,474,60.15228426395939,2791,3.170257959721481,531,19.218241042345277
native_ad,9180,3340,36.38344226579521,156,5.674790833030193,156,5.676855895196507,1562,46.76646706586826,1415,42.365269461077844,8446,9.593693560661995,1042,37.71263119797322
organic,22269,12282,55.15290313889263,2232,81.19316114950891,2232,81.22270742358079,6980,56.831134994300605,6601,53.745318352059925,53243,60.47798084896123,2593,93.84726746290264
other_widget,28,11,39.285714285714285,1,0.036376864314296105,1,0.036390101892285295,3,27.27272727272727,3,27.27272727272727,24,0.027261265149880164,7,0.2533478103510677
paa,765,333,43.529411764705884,2,0.07275372862859221,2,0.07278020378457059,169,50.750750750750754,153,45.94594594594595,513,0.5827095425786885,303,10.966340933767643
top_places,340,311,91.47058823529412,24,0.8730447435431066,24,0.8733624454148472,237,76.20578778135048,233,74.91961414790997,2013,2.2865386144461985,326,11.79876945349258
unknown_widget,673,122,18.12778603268945,14,0.5092761004001455,14,0.5094614264919942,39,31.967213114754102,38,31.147540983606557,214,0.24307961425309813,15,0.5428881650380022
