org_rank,n_fix_rows,fix_count_mean,dwell_s_mean,n_lfhf,lfhf_median
0,2672,17.538,3.798,1217,22.5317
1,2429,13.428,2.987,1003,19.5900
2,2057,11.010,2.498,831,17.9568
3,1656,9.255,2.113,607,17.9693
4,1344,7.943,1.793,419,16.1706
5,1071,6.865,1.536,303,13.6680
6,774,6.274,1.400,177,14.5386
7,443,5.375,1.208,93,16.1217
8,190,3.905,0.869,28,14.8751
9,62,3.403,0.802,11,12.8969
