org_rank,impressions,click_trials,click_count,ctr,click_share_pct
0,555,213,217,0.3838,38.4752
1,555,96,96,0.1730,17.0213
2,555,91,93,0.1640,16.4894
3,555,59,59,0.1063,10.4610
4,555,45,45,0.0811,7.9787
5,555,22,23,0.0396,4.0780
6,555,18,18,0.0324,3.1915
7,555,8,8,0.0144,1.4184
8,555,3,3,0.0054,0.5319
9,357,2,2,0.0056,0.3546
10,149,0,0,0.0000,0.0000
