cohort,n,mean_r0_px,median_r0_px,q25_r0_px,q75_r0_px
plain_top,775,148.75982027345518,119.05040949110591,57.90500205778321,210.900444573505
ad_top,1999,151.88031520366383,125.39936203984452,59.063517691679195,207.7943002650408
