rank,count,pct
0,458,16.67
1,221,8.05
2,231,8.41
3,188,6.84
4,389,14.16
5,355,12.92
6,266,9.68
7,221,8.05
8,118,4.3
9,93,3.39
10,74,2.69
11,38,1.38
12,40,1.46
13,15,0.55
14,16,0.58
15,11,0.4
16,4,0.15
17,4,0.15
18,2,0.07
19,3,0.11
