etype,n_aois,n_fixated,fixated_pct_of_aois,n_clicks,click_share_pct,n_clicks_tight,click_share_tight_pct,n_with_regressive_fix,regressive_share_of_fixated_pct,n_with_distinct_return,distinct_return_share_of_fixated_pct,regressive_fix_total,regressive_fix_share_of_total_pct,n_trials_with_etype_above_fold,above_fold_trial_pct
dd_top,1582,1577,99.68394437420986,254,9.643128321943811,251,9.881889763779528,1316,83.44958782498415,1301,82.49841471147748,20825,23.529744082255238,1582,57.009009009009006
image_pack,1584,824,52.02020202020202,55,2.088078967350038,60,2.3622047244094486,489,59.34466019417476,471,57.16019417475729,2926,3.306027908027795,582,20.972972972972972
knowledge_panel,745,362,48.59060402684564,31,1.1769172361427487,25,0.984251968503937,161,44.47513812154696,149,41.16022099447514,944,1.0666064064177165,105,3.7837837837837838
native_ad,9214,3350,36.357716518341654,156,5.922551252847381,137,5.393700787401575,1572,46.92537313432836,1423,42.47761194029851,8516,9.622055251115755,1050,37.83783783783784
organic,22346,12428,55.61621766759151,2084,79.11921032649963,2015,79.33070866141732,7186,57.82104924364339,6799,54.7071129707113,54183,61.22027004124061,2712,97.72972972972973
other_widget,50,29,58.0,2,0.07593014426727411,2,0.07874015748031496,13,44.827586206896555,13,44.827586206896555,114,0.12880628213095305,30,1.0810810810810811
paa,769,312,40.572171651495445,44,1.6704631738800304,42,1.6535433070866141,143,45.83333333333333,132,42.30769230769231,668,0.7547596181006723,339,12.216216216216216
top_places,84,46,54.76190476190476,1,0.037965072133637055,1,0.03937007874015748,23,50.0,21,45.65217391304348,135,0.15253375515507597,59,2.126126126126126
unknown_widget,788,137,17.385786802030456,7,0.26575550493545935,7,0.2755905511811024,36,26.277372262773724,35,25.547445255474454,194,0.21919665555618326,1,0.036036036036036036
