threshold_px,n_deferred,n_evaluated_rejected,n_clicked,n_not_approached,K5_retreat_def_median,K5_retreat_rej_median,K5_p,K6_total_dwell_def_median,K6_total_dwell_rej_median,K6_p,K7_dwell_prox_def_median,K7_dwell_prox_rej_median,K7_p
50,771,143,2228,10277,243.3105143327147,121.78707752340505,7.696821454736238e-13,4619.0,2243.0,6.813342660502299e-19,1668.0,964.0,2.5647989655311807e-06
75,1363,272,2228,9556,239.76972879749115,119.19419610092288,1.7051437206736355e-21,4382.0,1898.5,5.4765053984864925e-42,1416.0,833.0,3.215565046851081e-09
100,1916,439,2228,8836,234.54104118482402,90.77759591467033,1.762282940078998e-38,4137.0,1612.0,9.763105279744561e-70,1212.5,690.0,1.35820130678672e-16
125,2476,612,2228,8103,230.19015922557284,81.62508645331675,1.54097076231349e-52,3897.0,1527.5,1.1837027172660939e-96,1049.0,587.5,2.3588802476354164e-22
150,2970,780,2228,7441,224.42365318817582,74.25993654063154,4.873091605699015e-68,3646.5,1390.0,1.6100414918072908e-123,923.0,507.5,2.3732274769807067e-28
200,3798,1130,2228,6263,215.98803371641702,63.820945586452794,9.155064567844458e-98,3320.0,1275.0,2.203998925841807e-163,757.0,390.5,2.8843053485084393e-38
