cohort,K,n_trials,base_rate_ad_area,p_ad_survey_fix_weighted,p_ad_eval_fix_weighted,ratio_fix_s_over_e,ratio_survey_over_base,p_ad_survey_trial_mean,p_ad_eval_trial_mean,mean_trial_diff_s_minus_e,frac_trials_survey_gt_eval,median_dist_to_ad_survey_px,median_dist_to_ad_eval_px,median_survey_ms
all,5,2768,0.2575,0.5123,0.2600,1.9705,1.9896,0.5120,0.2512,0.2619,0.6359,-10.0000,140.0000,1121.5000
plain_top,5,1188,0.2052,0.2267,0.1332,1.7019,1.1050,0.2269,0.1300,0.0951,0.3282,1105.5000,645.0000,1227.5000
ad_top,5,1580,0.2968,0.7264,0.3428,2.1192,2.4476,0.7264,0.3410,0.3855,0.8638,-44.5000,85.5000,1078.0000
